np;l;c
26;4;12
32;4;14
21;5;14
25;5;8
24;8;5
44;5;10
71;4;27
29;4;11
21;5;2
49;5;12
22;4;12
34;3;10
27;7;4
98;7;29
22;3;20
31;5;3
25;6;8
54;8;5
24;6;19
22;7;6
38;6;18
45;5;29
26;4;9
30;4;18
21;5;5
33;6;6
59;10;14
24;3;8
38;3;13
57;5;18
22;3;18
108;9;4
45;6;6
32;4;17
32;6;10
24;4;19
24;3;13
32;3;30
21;4;10
50;4;21
28;3;10
51;4;28
32;3;30
31;3;29
39;3;32
30;6;13
31;3;23
36;6;18
23;4;10
23;6;4
22;6;5
32;10;3
28;6;19
21;9;1
55;7;13
48;9;18
71;4;25
55;11;1
30;3;25
30;3;13
23;2;14
23;4;14
23;11;9
22;4;5
26;8;5
36;4;25
56;5;25
21;3;14
23;6;6
60;9;13
23;6;2
56;3;22
33;4;18
51;6;10
46;5;6
23;4;12
27;7;1
45;11;11
33;5;12
52;10;8
25;5;2
23;5;12
21;7;5
41;6;9
36;10;2
23;6;1
46;5;15
34;4;28
33;5;29
35;5;20
61;5;17
46;6;23
25;4;8
21;4;7
27;4;12
22;10;10
21;5;5
28;7;4
63;6;21
33;5;6
27;4;4
26;8;1
39;3;14
32;6;27
40;3;25
34;4;6
55;6;11
25;3;12
37;2;20
26;4;18
125;6;75
38;4;13
22;3;11
35;4;6
189;7;63
70;14;15
35;7;14
44;7;5
29;4;26
28;4;7
26;3;24
21;1;21
23;2;22
44;5;17
321;5;105
24;4;6
30;7;9
102;5;98
79;1;79
47;6;30
35;7;7
34;2;24
24;1;24
99;4;30
27;3;9
22;1;22
26;3;13
47;4;38
24;2;23
68;3;23
111;5;19
36;1;36
34;4;11
25;7;9
32;4;5
34;4;14
33;4;12
24;3;11
28;3;12
29;4;10
27;4;14
21;6;13
22;7;3
21;7;13
21;6;4
22;5;8
22;5;6
24;5;10
23;8;13
23;6;12
30;6;22
76;8;22
34;7;11
25;1;25
40;2;20
33;3;26
29;8;6
27;3;25
21;3;19
49;4;19
67;4;23
63;7;7
51;2;25
27;3;25
26;3;24
51;4;31
21;2;20
57;4;19
24;4;6
64;5;12
77;7;4
36;4;16
43;3;16
46;3;10
22;5;4
42;5;2
32;4;6
36;7;5
33;6;4
22;4;6
31;8;7
35;7;6
21;6;4
24;5;6
36;5;6
29;5;10
21;5;17
39;5;12
30;3;10
70;5;17
31;8;14
27;6;6
28;6;8
29;5;20
77;7;12
23;5;8
33;12;4
29;4;14
24;1;24
28;4;9
59;7;8
23;1;23
88;6;21
31;6;3
74;6;47
21;3;7
26;3;24
56;7;12
27;3;17
23;2;22
28;4;21
37;2;19
67;6;17
34;3;13
39;4;18
54;7;3
23;5;5
33;5;20
51;9;7
28;9;2
26;7;15
21;3;10
51;5;8
59;6;15
30;5;9
23;2;16
23;2;18
27;4;14
93;7;23
26;4;4
32;12;8
32;3;13
53;6;12
23;5;9
22;7;1
38;7;3
58;8;5
60;3;29
25;7;1
28;5;20
28;3;8
119;10;30
46;5;23
25;8;9
21;3;7
72;6;2
23;2;22
22;7;12
32;4;10
34;10;10
68;5;26
27;2;17
38;7;11
33;3;20
22;6;9
29;5;20
29;4;13
31;5;17
40;5;12
25;5;8
75;8;5
27;6;6
34;7;28
90;8;48
23;5;7
41;4;15
26;6;5
69;7;5
29;4;26
27;3;7
64;6;25
42;12;9
24;5;4
44;4;30
31;6;8
25;2;12
25;3;23
25;4;19
21;4;3
21;6;6
29;9;6
27;8;1
21;5;2
25;6;8
31;5;18
46;4;20
67;9;20
33;8;4
81;5;23
21;1;21
32;5;4
25;2;13
64;6;9
27;5;3
22;4;10
33;4;9
30;4;18
42;3;24
29;5;21
25;3;23
22;4;16
26;3;20
22;6;10
32;6;8
45;4;20
42;10;21
23;3;15
41;5;10
23;4;7
25;4;7
22;5;7
27;6;7
25;4;10
